"Median_Cell_BCAT","Median_Cell_CC3","Median_Cell_CD44V6","Median_Cell_COX2","Median_Cell_ECAD","freq","perc"
0,0,0,0,0,230,23.2793522267206
0,0,0,1,0,186,18.8259109311741
1,0,0,0,0,130,13.1578947368421
1,0,0,0,1,95,9.61538461538462
1,0,0,1,0,78,7.89473684210526
1,0,0,1,1,40,4.04858299595142
0,1,0,1,0,36,3.64372469635628
0,0,0,1,1,34,3.4412955465587
0,0,0,0,1,23,2.32793522267206
1,1,0,1,0,18,1.82186234817814
1,1,1,1,0,17,1.72064777327935
0,1,1,1,0,12,1.21457489878543
0,0,1,1,0,11,1.11336032388664
0,1,0,1,1,11,1.11336032388664
1,0,1,1,0,11,1.11336032388664
1,1,0,0,1,10,1.01214574898785
1,0,1,1,1,9,0.910931174089069
0,1,0,0,0,7,0.708502024291498
0,1,0,0,1,7,0.708502024291498
0,0,1,0,0,5,0.506072874493927
1,1,0,0,0,5,0.506072874493927
1,1,1,1,1,4,0.404858299595142
0,0,1,1,1,2,0.202429149797571
1,0,1,0,0,2,0.202429149797571
1,0,1,0,1,2,0.202429149797571
1,1,0,1,1,2,0.202429149797571
0,0,1,0,1,1,0.101214574898785
